   <Script started on Sat Jul 18 21:02:40 2015
Trying 192.168.1.78...
Connected to 192.168.1.78.
Escape character is '^]'.
ý^M
..//llss^M

001	20150712_125821.pfl	000	[000 001]
002	20150712_154748.pfl	009	[002 509]
003	20150712_194236.pfl	036	[510 260]
004	20150713_185022.pfl	046	[261 663]
005	20150714_131818.pfl	046	[664 146]
root > ..//momorree  55^M

20150714_131818.pfl Flash Memory Pages  5664 : 6146
14-07-2015 13:18:18  Starting Data Acquisition Systems ...
14-07-2015 13:18:18  Probe Configuration... |70|72|76|80|84|134|137|141|145|149|198|202|206|210|214|2|
14-07-2015 13:18:18  Thermistor Controller Serial 0x97F4
14-07-2015 13:18:18  Temperature Control Active 1 ...
14-07-2015 13:18:18  Heater Intervals ON 5  OFF 0 
14-07-2015 13:18:18  Sensor Temperature 23.8 C
14-07-2015 13:18:18  Battery Voltage 12.2V
<|14-07-2015|13:21:12|97F4|00055|23.4| 4.20| 2.95| 2.52| 2.15| 1.83| 5.97| 5.78| 5.12| 4.60| 3.87| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:21:15|97F4|00056|23.5| 4.20| 2.95| 2.52| 2.15| 1.83| 5.96| 5.78| 5.12| 4.60| 3.87| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:21:18|97F4|00057|23.5| 4.20| 2.95| 2.52| 2.15| 1.83| 5.96| 5.76| 5.11| 4.59| 3.87| 8.71| 8.13| 6.00| 0.00|-0.87| 0.00| 2.36| 4.83| 2.46|04|01|12.1|3|-1.0|>
<|14-07-2015|13:21:21|97F4|00058|23.5| 4.20| 2.95| 2.52| 2.15| 1.83| 5.96| 5.78| 5.11| 4.60| 3.87| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:21:24|97F4|00059|23.5| 4.20| 2.95| 2.52| 2.15| 1.83| 5.96| 5.78| 5.12| 4.60| 3.88| 8.73| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:21:28|97F4|00060|23.5| 4.20| 2.95| 2.52| 2.15| 1.82| 5.96| 5.78| 5.12| 4.60| 3.88| 8.75| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|04|01|12.1|0|-1.0|>
<|14-07-2015|13:21:31|97F4|00061|23.6| 4.20| 2.95| 2.52| 2.15| 1.82| 5.95| 5.78| 5.11| 4.60| 3.88| 8.75| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|04|01|12.1|1|-1.0|>
<|14-07-2015|13:21:34|97F4|00062|23.6| 4.20| 2.95| 2.52| 2.15| 1.82| 5.95| 5.74| 5.09| 4.58| 3.86| 8.72| 8.14| 6.00| 0.00|-0.87| 0.00| 2.36| 4.82| 2.46|04|01|12.1|2|-1.0|>
<|14-07-2015|13:21:37|97F4|00063|23.6| 4.20| 2.95| 2.52| 2.15| 1.83| 5.97| 5.78| 5.11| 4.60| 3.87| 8.74| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:21:40|97F4|00064|23.6| 4.21| 2.95| 2.52| 2.16| 1.83| 5.97| 5.78| 5.12| 4.60| 3.88| 8.75| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:21:43|97F4|00065|23.6| 4.19| 2.94| 2.52| 2.15| 1.82| 5.97| 5.77| 5.11| 4.60| 3.87| 8.75| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|00|01|12.2|0|-1.0|>
<|14-07-2015|13:21:46|97F4|00066|23.6| 4.21| 2.95| 2.52| 2.16| 1.83| 5.97| 5.78| 5.12| 4.60| 3.88| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:21:49|97F4|00067|23.6| 4.21| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.11| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
